"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","compensation","coordinates","correct","correct_button_mouse","correct_instructions","correct_mouse","correct_response","count_block_loop","count_block_sequence","count_end_of_experiment","count_experiment","count_experimental_loop","count_fixation","count_instructions","count_logger","count_mouse","count_reset_feedback","count_stimuli","count_trial_sequence","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","initiation_time","initiation_time_mouse","left_color","left_shape","live_row","live_row_block_loop","live_row_experimental_loop","logfile","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_end_of_experiment","response_instructions","response_mouse","response_time","response_time_end_of_experiment","response_time_instructions","response_time_mouse","right_color","right_shape","round_decimals","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_block_loop","time_block_sequence","time_end_of_experiment","time_experiment","time_experimental_loop","time_fixation","time_instructions","time_logger","time_mouse","time_reset_feedback","time_stimuli","time_trial_sequence","timestamps_mouse","title","total_correct","total_response_time","total_responses","trial_type","uniform_coordinates","width","xpos_mouse","ypos_mouse"
"undefined","undefined","undefined","undefined","black","yes","psycho","0","uniform","1","left_button","undefined","1","left_button","0","0","0","0","0","0","0","0","0","0","0","0","Fri Sep 30 08:45:00 2022","A template containing a practice and an experimental phase","yes","circle_square.osexp","C:/Users/sarak/OneDrive - Aarhus universitet/26102021/Cog sci/3_semester/Perception_action/PercAct2022/mousetracking/example_experiments","no","mono","no","18","no","white","no","yes","768","337.1355999261141","337.1355999261141","#fc0107","circle","0","0","0","C:/Users/sarak/OneDrive - Aarhus Universitet/26102021/Cog sci/3_semester/Perception_action/PercAct2022/mousetracking/example_data/subject-99.csv","Lentiform Loewenfeld","3.3.12","no","0","left_button","NA","e","left_button","931.8460999056697","NA","8456.197600113228","931.8460999056697","#fc0107","rectangle","2","1024","2","48000","-16","experiment","99","odd","29210.573900025338","29210.325499996543","NA","20690.358999883756","29209.539499832317","29360.21209997125","20751.73949985765","30518.358799861744","29568.527800031006","NA","29568.3173998259","29348.282099934295","[29583.731099963188, 29593.998899916187, 29604.207399999723, 29614.381399936974, 29624.55750000663, 29634.787200018764, 29645.051199942827, 29655.290900031105, 29665.470599895343, 29675.6819000002, 29685.89049996808, 29696.078799897805, 29706.264900043607, 29716.46419982426, 29726.713799871504, 29736.951399827376, 29747.135699959472, 29757.34069989994, 29767.545099835843, 29777.733699884266, 29787.946399999782, 29798.13599982299, 29808.31929994747, 29818.535199854523, 29828.804299933836, 29839.049299946055, 29849.248699843884, 29859.487100038677, 29869.738299865276, 29879.954499891028, 29890.187799930573, 29900.40499996394, 29910.631499951705, 29920.866699889302, 29931.099300039932, 29941.333399852738, 29951.81049988605, 29962.202499853447, 29972.52679988742, 29982.752699870616, 29992.96909989789, 30003.20429983549, 30013.420599978417, 30023.65559991449, 30033.920099958777, 30044.172100024298, 30054.451699834317, 30064.73829993047, 30075.05159988068, 30085.349999833852, 30095.683200052008, 30106.03030002676, 30116.335300030187, 30126.699599903077, 30137.045999988914, 30147.30539987795, 30157.530499855056, 30167.753899935633, 30178.041900042444, 30188.45809996128, 30198.685999959707, 30208.94809998572, 30219.25810002722, 30229.873899836093, 30240.12380000204, 30250.393099850044, 30260.64380002208, 30270.877599949017, 30281.562299933285, 30291.82339995168, 30302.05629998818, 30312.314599985257, 30322.55079993047, 30332.792799919844, 30343.130599940196, 30353.381699882448, 30363.622799981385, 30373.881299979985, 30384.151799837127, 30394.397099968046, 30404.662400018424, 30414.92410004139, 30425.172799965367, 30435.604400001466, 30445.90299995616, 30456.121199997142, 30466.29609982483, 30476.508499821648, 30486.758999992162, 30496.968199964613, 30507.19100004062, 30515.577199868858]","Extended template","0","0","0","similar","yes","1024","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.0, -8.0, -21.0, -30.0, -36.0, -48.0, -54.0, -70.0, -74.0, -82.0, -89.0, -91.0, -95.0, -96.0, -98.0, -103.0, -105.0, -110.0, -113.0, -115.0, -120.0, -122.0, -126.0, -128.0, -129.0, -133.0, -135.0, -139.0, -147.0, -155.0, -169.0, -176.0, -187.0, -192.0, -214.0, -225.0, -231.0, -243.0, -251.0, -271.0, -278.0, -284.0, -299.0, -317.0, -333.0, -336.0, -343.0, -349.0, -351.0, -354.0, -355.0, -355.0, -355.0, -355.0, -355.0, -354.0, -354.0, -354.0]","[0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -3.0, -7.0, -14.0, -19.0, -22.0, -28.0, -32.0, -43.0, -45.0, -49.0, -52.0, -54.0, -56.0, -58.0, -60.0, -63.0, -66.0, -69.0, -70.0, -71.0, -73.0, -75.0, -80.0, -83.0, -85.0, -90.0, -92.0, -96.0, -101.0, -104.0, -111.0, -117.0, -128.0, -133.0, -151.0, -156.0, -160.0, -176.0, -184.0, -201.0, -206.0, -211.0, -227.0, -241.0, -253.0, -256.0, -262.0, -271.0, -273.0, -275.0, -275.0, -275.0, -275.0, -275.0, -275.0, -275.0, -275.0, -275.0]"
"undefined","undefined","undefined","undefined","black","yes","psycho","0","uniform","1","right_button","undefined","1","right_button","0","0","0","0","0","1","0","1","1","0","1","1","Fri Sep 30 08:45:00 2022","A template containing a practice and an experimental phase","yes","circle_square.osexp","C:/Users/sarak/OneDrive - Aarhus universitet/26102021/Cog sci/3_semester/Perception_action/PercAct2022/mousetracking/example_experiments","no","mono","no","18","no","white","no","yes","768","133.65340000018477","133.65340000018477","#fc0107","rectangle","1","1","0","C:/Users/sarak/OneDrive - Aarhus Universitet/26102021/Cog sci/3_semester/Perception_action/PercAct2022/mousetracking/example_data/subject-99.csv","Lentiform Loewenfeld","3.3.12","no","0","right_button","NA","e","right_button","875.4451998975128","NA","8456.197600113228","875.4451998975128","#fc0107","circle","2","1024","2","48000","-16","experiment","99","odd","29210.573900025338","29210.325499996543","NA","20690.358999883756","29209.539499832317","30639.44079983048","20751.73949985765","31726.560299983248","30848.156600026414","NA","30847.938899882138","30632.16309994459","[30849.18290004134, 30859.941999893636, 30870.43709983118, 30880.69859985262, 30890.907799825072, 30901.151799829677, 30911.365899955854, 30921.580999856815, 30931.767399888486, 30941.97449996136, 30952.173999976367, 30962.431699968874, 30972.65339992009, 30982.836300041527, 30993.0709998589, 31003.33989993669, 31013.73629993759, 31024.015299975872, 31034.313400043175, 31044.616400031373, 31054.859299911186, 31065.733499825, 31075.98580000922, 31086.227599997073, 31096.47069987841, 31106.71740001999, 31117.262699874118, 31128.30869993195, 31139.166499953717, 31149.41930002533, 31159.652799833566, 31169.889099895954, 31180.08179985918, 31190.480699995533, 31200.707899872214, 31210.964099969715, 31221.19820001535, 31231.42739990726, 31241.698099998757, 31251.95789989084, 31262.229799991474, 31272.5018998608, 31282.749600009993, 31292.997899930924, 31303.240800043568, 31313.450400019065, 31323.69939982891, 31333.920300006866, 31344.18089990504, 31354.431899962947, 31364.669099915773, 31374.90459997207, 31385.126000037417, 31395.364600000903, 31405.590899987146, 31415.821200003847, 31426.055199932307, 31436.300999950618, 31446.553400019184, 31456.7843999248, 31467.029699822888, 31477.275399956852, 31487.530200043693, 31497.78339988552, 31508.229800034314, 31518.45659990795, 31528.682000003755, 31538.920799968764, 31549.19769987464, 31559.436299838126, 31569.662099936977, 31579.872000031173, 31590.10489983484, 31600.829700008035, 31611.080499831587, 31621.339799836278, 31631.651199888438, 31641.889699967578, 31652.261700015515, 31662.534900009632, 31672.840599901974, 31683.194699930027, 31693.43620003201, 31703.688099980354, 31713.94110005349, 31724.206799874082, 31724.628099938855]","Extended template","0","0","0","similar","yes","1024","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 19.0, 40.0, 55.0, 71.0, 96.0, 128.0, 142.0, 167.0, 180.0, 184.0, 192.0, 198.0, 215.0, 220.0, 235.0, 241.0, 248.0, 253.0, 253.0, 253.0, 253.0, 253.0, 251.0, 248.0, 244.0, 237.0, 232.0, 224.0, 221.0, 221.0, 221.0, 228.0, 235.0, 242.0, 244.0, 247.0, 250.0, 255.0, 258.0, 260.0, 261.0, 262.0, 263.0, 263.0, 264.0, 266.0, 268.0, 269.0, 271.0, 272.0, 272.0, 272.0, 272.0, 272.0, 274.0, 274.0, 278.0, 298.0, 310.0, 324.0, 327.0, 334.0, 344.0, 347.0, 348.0, 348.0, 348.0, 348.0, 348.0, 346.0, 346.0, 345.0, 345.0]","[0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 16.0, 28.0, 42.0, 62.0, 75.0, 107.0, 124.0, 143.0, 149.0, 152.0, 161.0, 166.0, 171.0, 173.0, 174.0, 177.0, 177.0, 176.0, 176.0, 175.0, 174.0, 172.0, 167.0, 162.0, 141.0, 117.0, 91.0, 34.0, 11.0, -24.0, -41.0, -68.0, -115.0, -132.0, -154.0, -161.0, -165.0, -174.0, -176.0, -177.0, -177.0, -177.0, -177.0, -177.0, -177.0, -177.0, -177.0, -177.0, -177.0, -177.0, -177.0, -177.0, -177.0, -177.0, -177.0, -178.0, -180.0, -190.0, -197.0, -206.0, -211.0, -217.0, -224.0, -226.0, -227.0, -228.0, -228.0, -228.0, -228.0, -228.0, -228.0, -228.0, -228.0]"
"undefined","undefined","undefined","undefined","black","yes","psycho","0","uniform","1","left_button","undefined","1","left_button","0","0","0","0","0","2","0","2","2","0","2","2","Fri Sep 30 08:45:00 2022","A template containing a practice and an experimental phase","yes","circle_square.osexp","C:/Users/sarak/OneDrive - Aarhus universitet/26102021/Cog sci/3_semester/Perception_action/PercAct2022/mousetracking/example_experiments","no","mono","no","18","no","white","no","yes","768","0","0","#fc0107","circle","2","2","0","C:/Users/sarak/OneDrive - Aarhus Universitet/26102021/Cog sci/3_semester/Perception_action/PercAct2022/mousetracking/example_data/subject-99.csv","Lentiform Loewenfeld","3.3.12","no","0","left_button","NA","e","left_button","556.7507999949157","NA","8456.197600113228","556.7507999949157","#20ffff","rectangle","2","1024","2","48000","-16","experiment","99","odd","29210.573900025338","29210.325499996543","NA","20690.358999883756","29209.539499832317","31843.877000035718","20751.73949985765","32613.481199834496","32053.32039995119","NA","32053.01779997535","31836.520199896768","[32054.445100016892, 32065.075099933892, 32075.35479986109, 32085.6753999833, 32095.94379994087, 32106.177299981937, 32116.382600041106, 32126.618399983272, 32136.845799861476, 32147.077800007537, 32157.324600033462, 32167.52939997241, 32177.757599856704, 32188.03219986148, 32198.266899911687, 32208.815899910405, 32219.110899837688, 32229.33269990608, 32239.586899988353, 32249.837999930605, 32260.196599876508, 32270.46209992841, 32280.697599984705, 32290.952099952847, 32301.173199899495, 32311.415700009093, 32321.672699879855, 32331.921000033617, 32342.147799907252, 32352.408800041303, 32362.634500022978, 32372.875599889085, 32383.08269996196, 32393.328099977225, 32403.574500000104, 32414.050299907103, 32424.305900000036, 32434.536800021306, 32444.77849989198, 32454.996400047094, 32465.20400000736, 32475.43939994648, 32485.730199841782, 32495.963299879804, 32506.203099852428, 32516.464999876916, 32526.707199867815, 32536.96019994095, 32547.193699982017, 32557.409999892116, 32568.006299901754, 32578.221699921414, 32588.42939999886, 32598.65429997444, 32608.889000024647, 32611.195900011808]","Extended template","0","0","0","dissimilar","yes","1024","[0, 160.0, 151.0, 127.0, 118.0, 109.0, 108.0, 107.0, 106.0, 106.0, 106.0, 105.0, 105.0, 103.0, 102.0, 96.0, 93.0, 90.0, 81.0, 73.0, 63.0, 60.0, 54.0, 42.0, 36.0, 23.0, 15.0, 7.0, -31.0, -50.0, -80.0, -106.0, -119.0, -147.0, -172.0, -190.0, -197.0, -218.0, -235.0, -241.0, -251.0, -259.0, -267.0, -279.0, -280.0, -283.0, -284.0, -285.0, -288.0, -289.0, -292.0, -292.0, -292.0, -292.0, -292.0, -292.0]","[0, -125.0, -118.0, -106.0, -102.0, -99.0, -98.0, -98.0, -98.0, -97.0, -96.0, -95.0, -95.0, -93.0, -91.0, -83.0, -80.0, -77.0, -69.0, -64.0, -58.0, -56.0, -54.0, -49.0, -48.0, -48.0, -48.0, -48.0, -52.0, -57.0, -74.0, -89.0, -100.0, -125.0, -141.0, -162.0, -168.0, -181.0, -192.0, -197.0, -205.0, -213.0, -216.0, -220.0, -220.0, -221.0, -221.0, -221.0, -222.0, -222.0, -223.0, -223.0, -223.0, -223.0, -223.0, -223.0]"
"undefined","undefined","undefined","undefined","black","yes","psycho","0","uniform","1","right_button","undefined","1","right_button","0","0","0","0","0","3","0","3","3","0","3","3","Fri Sep 30 08:45:00 2022","A template containing a practice and an experimental phase","yes","circle_square.osexp","C:/Users/sarak/OneDrive - Aarhus universitet/26102021/Cog sci/3_semester/Perception_action/PercAct2022/mousetracking/example_experiments","no","mono","no","18","no","white","no","yes","768","0","0","#20ffff","rectangle","3","3","0","C:/Users/sarak/OneDrive - Aarhus Universitet/26102021/Cog sci/3_semester/Perception_action/PercAct2022/mousetracking/example_data/subject-99.csv","Lentiform Loewenfeld","3.3.12","no","0","right_button","NA","e","right_button","636.7655999492854","NA","8456.197600113228","636.7655999492854","#fc0107","circle","2","1024","2","48000","-16","experiment","99","odd","29210.573900025338","29210.325499996543","NA","20690.358999883756","29209.539499832317","32723.78550004214","20751.73949985765","33572.68069987185","32932.69809987396","NA","32932.47119989246","32717.13300002739","[32933.96829999983, 32944.47849993594, 32954.701100010425, 32964.92489986122, 32975.19669984467, 32985.513899941, 32995.762599864975, 33005.998000036925, 33016.27360004932, 33026.50279994123, 33036.73890000209, 33046.96559999138, 33057.20609985292, 33067.44230003096, 33077.68650003709, 33087.94580004178, 33098.154000006616, 33108.389999950305, 33118.64429991692, 33128.914800006896, 33139.20490001328, 33149.49249988422, 33159.794099861756, 33170.049499953166, 33180.283800000325, 33190.55619998835, 33200.77109988779, 33211.00510004908, 33221.252699848264, 33231.48289998062, 33241.775000002235, 33252.082699909806, 33262.338999891654, 33272.589599946514, 33282.86359994672, 33293.12279983424, 33303.36449993774, 33313.58109996654, 33323.812199989334, 33334.03649996035, 33344.3064999301, 33354.56099989824, 33364.80029998347, 33375.054699834436, 33385.2974998299, 33395.57499997318, 33405.83790000528, 33416.07529995963, 33426.3088000007, 33436.5483999718, 33446.80029992014, 33457.03299995512, 33467.25899982266, 33477.49449987896, 33487.75059985928, 33498.034100048244, 33508.27730004676, 33518.60119984485, 33528.853399911895, 33539.09570001997, 33549.33299985714, 33559.5631999895, 33569.77409985848, 33570.73389994912]","Extended template","0","0","0","dissimilar","yes","1024","[0, 4.0, 9.0, 26.0, 30.0, 39.0, 41.0, 44.0, 49.0, 55.0, 69.0, 76.0, 80.0, 85.0, 88.0, 89.0, 91.0, 96.0, 107.0, 117.0, 132.0, 142.0, 169.0, 211.0, 246.0, 307.0, 354.0, 379.0, 427.0, 433.0, 450.0, 460.0, 469.0, 482.0, 483.0, 484.0, 484.0, 484.0, 483.0, 482.0, 475.0, 470.0, 464.0, 452.0, 449.0, 444.0, 442.0, 439.0, 425.0, 417.0, 407.0, 401.0, 399.0, 395.0, 392.0, 381.0, 376.0, 373.0, 370.0, 369.0, 369.0, 369.0, 369.0, 369.0]","[0, 2.0, 6.0, 14.0, 18.0, 21.0, 22.0, 22.0, 25.0, 27.0, 30.0, 30.0, 32.0, 34.0, 34.0, 34.0, 34.0, 34.0, 31.0, 28.0, 22.0, 19.0, 12.0, -1.0, -10.0, -23.0, -31.0, -37.0, -47.0, -48.0, -62.0, -70.0, -80.0, -97.0, -102.0, -112.0, -117.0, -122.0, -132.0, -137.0, -149.0, -156.0, -163.0, -176.0, -179.0, -184.0, -185.0, -186.0, -187.0, -187.0, -188.0, -190.0, -192.0, -196.0, -201.0, -209.0, -211.0, -212.0, -213.0, -213.0, -214.0, -214.0, -214.0, -214.0]"
"undefined","undefined","undefined","undefined","black","yes","psycho","0","uniform","1","left_button","undefined","1","left_button","0","0","0","0","0","4","0","4","4","0","4","4","Fri Sep 30 08:45:00 2022","A template containing a practice and an experimental phase","yes","circle_square.osexp","C:/Users/sarak/OneDrive - Aarhus universitet/26102021/Cog sci/3_semester/Perception_action/PercAct2022/mousetracking/example_experiments","no","mono","no","18","no","white","no","yes","768","133.20739986374974","133.20739986374974","#fc0107","circle","4","4","0","C:/Users/sarak/OneDrive - Aarhus Universitet/26102021/Cog sci/3_semester/Perception_action/PercAct2022/mousetracking/example_data/subject-99.csv","Lentiform Loewenfeld","3.3.12","no","0","left_button","NA","e","left_button","910.6242000125349","NA","8456.197600113228","910.6242000125349","#fc0107","rectangle","2","1024","2","48000","-16","experiment","99","odd","29210.573900025338","29210.325499996543","NA","20690.358999883756","29209.539499832317","33688.87749989517","20751.73949985765","34811.35319988243","33897.17989997007","NA","33896.934299962595","33681.16010003723","[33898.34269997664, 33908.714100020006, 33919.00849994272, 33929.231399903074, 33939.55729994923, 33949.84450004995, 33960.07589995861, 33970.29839991592, 33980.521799996495, 33990.76920002699, 34000.94349985011, 34011.14630000666, 34021.362100029364, 34031.55009984039, 34041.801899904385, 34052.08419985138, 34062.297499971464, 34072.53689994104, 34082.77960005216, 34093.01539999433, 34103.26679982245, 34113.63220005296, 34123.86789987795, 34134.069100022316, 34144.32269986719, 34154.565499862656, 34164.92989985272, 34175.20539998077, 34185.45069987886, 34195.665899896994, 34205.90960001573, 34216.294700047, 34226.53459990397, 34236.78379994817, 34247.03219998628, 34257.27339996956, 34267.50699989498, 34277.749500004575, 34287.99470001832, 34298.233499983326, 34308.49740002304, 34318.74689995311, 34328.96750001237, 34339.19629990123, 34349.47220003232, 34359.74629991688, 34370.14349992387, 34380.37119992077, 34390.60719986446, 34400.841400027275, 34411.071999929845, 34421.464999904856, 34431.760399835184, 34442.013500025496, 34452.33260001987, 34462.554399855435, 34472.82349993475, 34483.03349991329, 34493.262599920854, 34503.55529994704, 34513.75919999555, 34524.14739993401, 34534.41119985655, 34544.70729990862, 34555.131499888375, 34565.37720002234, 34575.658599846065, 34585.91359993443, 34596.344199962914, 34606.719200033695, 34616.96149990894, 34627.20420002006, 34637.45879987255, 34648.01170001738, 34658.25359988958, 34668.543400010094, 34678.79729997367, 34689.04139986262, 34699.78479994461, 34710.047899978235, 34720.285000046715, 34730.51290004514, 34740.72499992326, 34750.972899841145, 34761.19300001301, 34771.434099879116, 34781.68729995377, 34791.90569999628, 34802.14889999479, 34808.96689998917]","Extended template","0","0","0","similar","yes","1024","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.0, -19.0, -43.0, -56.0, -70.0, -98.0, -113.0, -160.0, -176.0, -200.0, -249.0, -277.0, -350.0, -400.0, -437.0, -510.0, -542.0, -577.0, -588.0, -599.0, -618.0, -620.0, -626.0, -629.0, -632.0, -638.0, -641.0, -645.0, -645.0, -645.0, -639.0, -636.0, -627.0, -620.0, -603.0, -568.0, -564.0, -519.0, -507.0, -501.0, -474.0, -462.0, -450.0, -446.0, -445.0, -443.0, -442.0, -441.0, -441.0, -441.0, -441.0, -441.0, -442.0, -443.0, -444.0, -447.0, -447.0, -447.0, -446.0, -445.0, -441.0, -434.0, -419.0, -412.0, -405.0, -403.0, -403.0, -402.0, -402.0, -402.0, -402.0, -402.0, -402.0, -402.0, -402.0, -402.0]","[0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 1.0, 3.0, 9.0, 13.0, 16.0, 23.0, 25.0, 32.0, 36.0, 42.0, 50.0, 51.0, 51.0, 45.0, 39.0, 22.0, 16.0, 6.0, -0.0, -6.0, -16.0, -19.0, -24.0, -29.0, -30.0, -39.0, -42.0, -51.0, -57.0, -61.0, -70.0, -75.0, -86.0, -92.0, -104.0, -118.0, -121.0, -132.0, -133.0, -136.0, -143.0, -144.0, -150.0, -151.0, -153.0, -157.0, -159.0, -161.0, -163.0, -165.0, -168.0, -169.0, -171.0, -172.0, -175.0, -180.0, -184.0, -193.0, -199.0, -206.0, -218.0, -230.0, -253.0, -263.0, -273.0, -274.0, -274.0, -274.0, -274.0, -272.0, -270.0, -268.0, -267.0, -266.0, -265.0, -265.0]"
"undefined","undefined","undefined","undefined","black","yes","psycho","0","uniform","1","left_button","undefined","1","left_button","0","0","0","0","0","5","0","5","5","0","5","5","Fri Sep 30 08:45:00 2022","A template containing a practice and an experimental phase","yes","circle_square.osexp","C:/Users/sarak/OneDrive - Aarhus universitet/26102021/Cog sci/3_semester/Perception_action/PercAct2022/mousetracking/example_experiments","no","mono","no","18","no","white","no","yes","768","154.0596999693662","154.0596999693662","#fc0107","circle","5","5","0","C:/Users/sarak/OneDrive - Aarhus Universitet/26102021/Cog sci/3_semester/Perception_action/PercAct2022/mousetracking/example_data/subject-99.csv","Lentiform Loewenfeld","3.3.12","no","0","left_button","NA","e","left_button","1130.838599987328","NA","8456.197600113228","1130.838599987328","#20ffff","rectangle","2","1024","2","48000","-16","experiment","99","odd","29210.573900025338","29210.325499996543","NA","20690.358999883756","29209.539499832317","34919.00769993663","20751.73949985765","36261.689299950376","35127.29089986533","NA","35127.05859984271","34912.71369997412","[35128.61400004476, 35138.95419985056, 35149.185799993575, 35159.42409983836, 35169.626499991864, 35179.87099988386, 35190.09849987924, 35200.29569999315, 35210.56029992178, 35220.92859982513, 35231.31199995987, 35241.63519986905, 35251.97499990463, 35262.180799851194, 35272.42899988778, 35282.67370001413, 35292.921900050715, 35303.16889984533, 35313.41219996102, 35323.65809986368, 35333.9007999748, 35344.53949984163, 35354.81039993465, 35365.06269988604, 35375.31809997745, 35385.55749994703, 35395.837099989876, 35406.09269984998, 35416.29590000957, 35426.51110002771, 35436.891299905255, 35447.12439994328, 35457.38389994949, 35467.58359996602, 35477.87639987655, 35488.10589988716, 35498.326799832284, 35508.54799989611, 35518.88619991951, 35529.2366000358, 35539.50840001926, 35549.75420003757, 35560.00099983066, 35570.24579984136, 35580.49249998294, 35590.74159990996, 35600.97599984147, 35611.253699986264, 35621.558599872515, 35631.97200000286, 35642.34989997931, 35652.611299883574, 35662.81749983318, 35673.252400010824, 35683.61900001764, 35693.843099987134, 35704.13860003464, 35714.35260004364, 35724.822799908, 35735.47109984793, 35745.73890003376, 35755.98050002009, 35766.18229993619, 35776.55279985629, 35786.81529988535, 35797.04579990357, 35807.28939990513, 35817.52629997209, 35827.72409985773, 35837.947299936786, 35848.14299992286, 35858.33099996671, 35868.60179994255, 35878.82199999876, 35889.022700022906, 35899.20479990542, 35909.43400003016, 35919.720199890435, 35929.90779993124, 35940.11069997214, 35950.31309989281, 35960.57079988532, 35970.79149982892, 35980.987400049344, 35991.18459993042, 36001.43349985592, 36011.66859990917, 36021.9268000219, 36032.5334998779, 36042.79770003632, 36053.06029994972, 36063.28170001507, 36073.50800000131, 36084.058800013736, 36094.29839998484, 36104.55809999257, 36114.81309984811, 36125.04549999721, 36135.316899977624, 36145.517400000244, 36155.74059984647, 36165.93679995276, 36176.17579991929, 36186.43949995749, 36196.62970001809, 36206.86089992523, 36217.07100002095, 36227.29519987479, 36237.52880003303, 36247.75559990667, 36257.97259993851, 36259.45260003209]","Extended template","0","0","0","dissimilar","yes","1024","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.0, 6.0, 24.0, 30.0, 40.0, 47.0, 59.0, 74.0, 78.0, 81.0, 81.0, 81.0, 81.0, 81.0, 81.0, 81.0, 81.0, 81.0, 81.0, 81.0, 81.0, 81.0, 81.0, 81.0, 80.0, 78.0, 75.0, 72.0, 70.0, 68.0, 64.0, 56.0, 42.0, 31.0, -8.0, -14.0, -20.0, -50.0, -68.0, -83.0, -100.0, -121.0, -144.0, -148.0, -156.0, -158.0, -162.0, -163.0, -163.0, -164.0, -164.0, -164.0, -164.0, -164.0, -164.0, -164.0, -164.0, -164.0, -164.0, -164.0, -164.0, -164.0, -164.0, -164.0, -164.0, -164.0, -164.0, -164.0, -164.0, -181.0, -202.0, -236.0, -285.0, -315.0, -342.0, -346.0, -354.0, -355.0, -356.0, -357.0, -357.0, -357.0, -357.0, -356.0, -356.0, -356.0, -356.0, -356.0, -355.0, -355.0, -355.0, -355.0, -355.0, -355.0, -355.0]","[0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -2.0, -3.0, -3.0, -3.0, -3.0, -2.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.0, -0.0, -0.0, -0.0, -0.0, -1.0, -3.0, -4.0, -6.0, -8.0, -12.0, -22.0, -31.0, -58.0, -62.0, -70.0, -93.0, -101.0, -110.0, -122.0, -134.0, -159.0, -164.0, -182.0, -187.0, -193.0, -198.0, -199.0, -202.0, -202.0, -202.0, -202.0, -202.0, -202.0, -202.0, -202.0, -202.0, -202.0, -202.0, -202.0, -202.0, -202.0, -202.0, -202.0, -202.0, -202.0, -202.0, -202.0, -205.0, -209.0, -216.0, -228.0, -237.0, -243.0, -243.0, -246.0, -247.0, -247.0, -248.0, -248.0, -249.0, -249.0, -250.0, -250.0, -251.0, -251.0, -251.0, -252.0, -252.0, -252.0, -252.0, -252.0, -252.0, -252.0]"
